"","MRNA.Open","MRNA.High","MRNA.Low","MRNA.Close","MRNA.Volume","MRNA.Adjusted"
"2020-07-01",63,63.73,59.119999,61.59,17916500,61.59
"2020-07-02",60,61.799999,55.810001,58.57,26544400,58.57
"2020-07-06",58.549999,60.73,57.099998,59.150002,9977300,59.150002
"2020-07-07",58.799999,61.5,57.439999,61.09,8904300,61.09
"2020-07-08",60.790001,62.459999,59.450001,61.580002,7590900,61.580002
"2020-07-09",62.09,65.349998,58.880001,64.959999,20646100,64.959999
"2020-07-10",64.650002,64.93,62.32,62.610001,7407500,62.610001
"2020-07-13",63.889999,77.75,63.799999,71.779999,56617300,71.779999
"2020-07-14",74,76.948997,70.620003,75.040001,38708800,75.040001
"2020-07-15",87.519997,88.370003,78.010002,80.220001,90756100,80.220001
"2020-07-16",80.160004,84.290001,79.599998,81.809998,27277400,81.809998
"2020-07-17",83.349998,95.209999,82.610001,94.849998,103509200,94.849998
"2020-07-20",87.860001,90.849998,78.050003,82.68,78391300,82.68
"2020-07-21",80.910004,82.43,79.07,80.860001,26157900,80.860001
"2020-07-22",79.610001,84.120003,79.110001,83.224998,27274000,83.224998
"2020-07-23",82.050003,82.68,72.199997,75.330002,29288100,75.330002
"2020-07-24",69.050003,73.900002,66.540001,73.209999,27797500,73.209999
"2020-07-27",80.629997,80.980003,76.160004,79.910004,44710700,79.910004
"2020-07-28",81,83.849998,79.5,81.489998,32946900,81.489998
"2020-07-29",81.980003,82.82,76.550003,79.510002,24453900,79.510002
"2020-07-30",78,79.25,76.800003,77.629997,13102000,77.629997
"2020-07-31",78.199997,78.440002,73.603996,74.099998,14210400,74.099998
"2020-08-03",74.980003,77.989998,73.029999,77.980003,13382300,77.980003
"2020-08-04",78.192001,78.620003,75.5,78.459999,10126500,78.459999
"2020-08-05",77.489998,77.489998,73.690002,75.800003,19831900,75.800003
"2020-08-06",75.790001,76.25,73.120003,73.760002,11691500,73.760002
"2020-08-07",74.379997,75.389999,73.010002,74.099998,8771400,74.099998
"2020-08-10",74.269997,75,71.410004,72.010002,8678300,72.010002
"2020-08-11",69.519997,71.400002,67,68.970001,18118700,68.970001
"2020-08-12",75.669998,75.75,68.300003,69.519997,50362100,69.519997
"2020-08-13",69.089996,69.18,67.050003,67.830002,15055900,67.830002
"2020-08-14",68.059998,70.360001,67.860001,69.150002,12799600,69.150002
"2020-08-17",69.139999,70.779999,68.379997,69.760002,8749100,69.760002
"2020-08-18",68.279999,69.699997,65.230003,67.029999,11329200,67.029999
"2020-08-19",66.739998,69.169998,66.599998,68,8558800,68
"2020-08-20",67.790001,68,66.629997,67.809998,6346700,67.809998
"2020-08-21",67.5,68.019997,65.599998,66.449997,6935600,66.449997
"2020-08-24",67.150002,67.849998,62.880001,64.879997,13143200,64.879997
