"","DXC.Open","DXC.High","DXC.Low","DXC.Close","DXC.Volume","DXC.Adjusted"
"2020-07-01",16.450001,16.870001,15.62,16.139999,12751600,16.139999
"2020-07-02",16.68,17.059999,16.1,16.15,3522300,16.15
"2020-07-06",16.51,16.58,15.08,15.29,6106600,15.29
"2020-07-07",15.05,15.8,14.95,15.28,5368800,15.28
"2020-07-08",15.32,15.54,15,15.46,2846600,15.46
"2020-07-09",15.35,15.37,14.73,15.16,2518500,15.16
"2020-07-10",15.07,15.56,14.92,15.49,3200100,15.49
"2020-07-13",15.67,16.01,15.44,15.51,3319200,15.51
"2020-07-14",15.34,15.48,15.07,15.41,2681600,15.41
"2020-07-15",15.74,16.49,15.73,16.42,3929700,16.42
"2020-07-16",16.1,16.940001,15.97,16.66,2932400,16.66
"2020-07-17",16.719999,16.959999,16.540001,16.809999,2598900,16.809999
"2020-07-20",16.719999,17.02,16.43,16.9,1925400,16.9
"2020-07-21",17.18,17.610001,17.040001,17.1,2312300,17.1
"2020-07-22",16.91,17.440001,16.790001,17.280001,1569900,17.280001
"2020-07-23",17.18,17.790001,17.16,17.530001,2117900,17.530001
"2020-07-24",17.51,17.709999,17.059999,17.15,2027900,17.15
"2020-07-27",17.09,17.200001,16.709999,17.129999,2414900,17.129999
"2020-07-28",17.120001,17.379999,16.92,16.940001,1633700,16.940001
"2020-07-29",17,17.889999,16.92,17.799999,2761900,17.799999
"2020-07-30",17.360001,17.860001,16.799999,17.76,1817700,17.76
"2020-07-31",17.620001,17.99,17.35,17.91,2019300,17.91
"2020-08-03",17.879999,18.709999,17.57,18.15,12474000,18.15
"2020-08-04",18.23,18.5,18.040001,18.24,2566000,18.24
"2020-08-05",18.5,18.74,18.309999,18.48,2090400,18.48
"2020-08-06",18.190001,18.860001,18.030001,18.690001,2860300,18.690001
"2020-08-07",19,20.639999,18.84,19.9,6480300,19.9
"2020-08-10",19.860001,20.48,19.860001,20.26,3932100,20.26
